zip,num_stations,num_incidents,incidents_to_stations_ratio,timestamp
37212,2,0.0,0.0,Nov-13hr-59min
37214,2,2.0,1.0,Nov-13hr-59min
37215,1,3.0,3.0,Nov-13hr-59min
37216,1,3.0,3.0,Nov-13hr-59min
37217,1,0.0,0.0,Nov-13hr-59min
37218,1,0.0,0.0,Nov-13hr-59min
37221,2,0.0,0.0,Nov-13hr-59min
37013,3,6.0,2.0,Nov-14hr-04min
37072,2,1.0,0.5,Nov-14hr-04min
37076,1,0.0,0.0,Nov-14hr-04min
37080,1,0.0,0.0,Nov-14hr-04min
37115,2,0.0,0.0,Nov-14hr-04min
37138,1,0.0,0.0,Nov-14hr-04min
37203,2,2.0,1.0,Nov-14hr-04min
37204,1,1.0,1.0,Nov-14hr-04min
37205,2,2.0,1.0,Nov-14hr-04min
37206,2,2.0,1.0,Nov-14hr-04min
37207,3,0.0,0.0,Nov-14hr-04min
37208,1,2.0,2.0,Nov-14hr-04min
37209,2,3.0,1.5,Nov-14hr-04min
37210,2,3.0,1.5,Nov-14hr-04min
37211,4,2.0,0.5,Nov-14hr-04min
37212,2,0.0,0.0,Nov-14hr-04min
37214,2,2.0,1.0,Nov-14hr-04min
37215,1,3.0,3.0,Nov-14hr-04min
37216,1,3.0,3.0,Nov-14hr-04min
37217,1,0.0,0.0,Nov-14hr-04min
37218,1,0.0,0.0,Nov-14hr-04min
37221,2,0.0,0.0,Nov-14hr-04min
37013,3,6.0,2.0,Nov-14hr-10min
37072,2,0.0,0.0,Nov-14hr-10min
37076,1,0.0,0.0,Nov-14hr-10min
37080,1,0.0,0.0,Nov-14hr-10min
37115,2,2.0,1.0,Nov-14hr-10min
37138,1,0.0,0.0,Nov-14hr-10min
37203,2,5.0,2.5,Nov-14hr-10min
37204,1,1.0,1.0,Nov-14hr-10min
37205,2,2.0,1.0,Nov-14hr-10min
37206,2,5.0,2.5,Nov-14hr-10min
37207,3,0.0,0.0,Nov-14hr-10min
37208,1,2.0,2.0,Nov-14hr-10min
37209,2,6.0,3.0,Nov-14hr-10min
37210,2,3.0,1.5,Nov-14hr-10min
37211,4,2.0,0.5,Nov-14hr-10min
37212,2,0.0,0.0,Nov-14hr-10min
37214,2,1.0,0.5,Nov-14hr-10min
37215,1,3.0,3.0,Nov-14hr-10min
37216,1,0.0,0.0,Nov-14hr-10min
37217,1,0.0,0.0,Nov-14hr-10min
37218,1,0.0,0.0,Nov-14hr-10min
37221,2,0.0,0.0,Nov-14hr-10min
37013,3,5.0,1.6666666666666667,Nov-14hr-15min
37072,2,0.0,0.0,Nov-14hr-15min
37076,1,0.0,0.0,Nov-14hr-15min
37080,1,0.0,0.0,Nov-14hr-15min
37115,2,2.0,1.0,Nov-14hr-15min
37138,1,0.0,0.0,Nov-14hr-15min
37203,2,5.0,2.5,Nov-14hr-15min
37204,1,1.0,1.0,Nov-14hr-15min
37205,2,0.0,0.0,Nov-14hr-15min
37206,2,5.0,2.5,Nov-14hr-15min
37207,3,0.0,0.0,Nov-14hr-15min
37208,1,2.0,2.0,Nov-14hr-15min
37209,2,6.0,3.0,Nov-14hr-15min
37210,2,1.0,0.5,Nov-14hr-15min
37211,4,5.0,1.25,Nov-14hr-15min
37212,2,0.0,0.0,Nov-14hr-15min
37214,2,3.0,1.5,Nov-14hr-15min
37215,1,3.0,3.0,Nov-14hr-15min
37216,1,0.0,0.0,Nov-14hr-15min
37217,1,0.0,0.0,Nov-14hr-15min
